ID,EDAD,SEXO,CODIGO_DEPARTAMENTO,REGION,TIPO_PESCADOR,COBRO,MONTO,FECHA_CORTE,FECHA_PUBLICACION_PNDA
274,51,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
275,34,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
276,41,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
277,50,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
278,57,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
279,65,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
280,40,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
281,50,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
282,45,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
283,65,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
284,45,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
285,31,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
286,57,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
287,39,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
288,52,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
289,53,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
290,45,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
291,42,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
292,53,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
293,52,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
294,63,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
295,41,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
296,61,F,02,ANCASH,EMBARCADO,1,500,20230430,20230626
297,49,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
298,31,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
299,50,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
300,41,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
301,44,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
302,56,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
303,40,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
304,59,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
305,24,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
306,29,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
307,23,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
308,53,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
309,50,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
310,61,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
311,32,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
312,47,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
313,47,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
314,26,M,02,ANCASH,EMBARCADO,0,500,20230430,20230626
315,26,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
316,42,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
317,57,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
318,52,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
319,45,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
320,47,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
321,44,M,02,ANCASH,EMBARCADO,1,500,20230430,20230626
